Usuario,Quantidade_Retweets,Quantidade_Likes,Quantidade_Publicacoes,Maior_N_Retweets,Maior_N_Likes,Seguidores,Amigos,Verificado,RN,LN,MACRO,Personalidade
APompliano,314654,2564686,486,338,466,1583590,6681,True,647.4362139917696,5277.131687242799,NT,INTJ
CoinCornerDanny,6030,39698,20,330,1434,30269,2573,False,301.5,1984.9,SP,ISFP
AltcoinDailyio,17715,116982,43,748,2808,1139226,535,False,411.9767441860465,2720.5116279069766,NF,ENFP
nanogamesio,276,377,1,276,377,11527,42,False,276.0,377.0,,
cz_binance,95670,675162,106,530,1954,5680971,1718,True,902.5471698113207,6369.452830188679,NF,INFP
faveladoinvest,222,2305,1,222,2305,130963,319,False,222.0,2305.0,,
DexiveExchange,406,368,1,406,368,378,0,False,406.0,368.0,,
river,229,769,1,229,769,17760,81,True,229.0,769.0,,
GoingParabolic,8724,74153,32,458,444,191341,607,False,272.625,2317.28125,NF,INFP
CashApp,128311,184456,14,5444,20404,1775204,1,True,9165.07142857143,13175.42857142857,NF,INFJ
Bitsahara,32445,25288,107,204,167,11899,38,False,303.22429906542055,236.33644859813083,SP,ISFP
100trillionUSD,159402,948377,223,192,822,1801288,201,False,714.8071748878924,4252.811659192825,NT,INTJ
InstaSwap_io,1011,1058,2,633,593,9328,720,False,505.5,529.0,,
rogerkver,1731,8554,3,254,1959,742143,1011,True,577.0,2851.3333333333335,,
tyler,99203,851489,204,621,3326,1041131,2698,True,486.28921568627453,4173.96568627451,NT,INTJ
jack,56655,356089,29,1082,5667,6291174,4568,True,1953.6206896551723,12278.931034482759,NF,INFJ
milessuter,1228,6105,4,232,1167,23545,4200,False,307.0,1526.25,NF,INFJ
alistairmilne,11720,77688,29,193,1179,120261,2329,True,404.13793103448273,2678.896551724138,NT,INTP
CoinDesk,32692,116668,80,149,372,2801232,1478,True,408.65,1458.35,NT,INTJ
Bitcoin,164840,1003102,237,316,1041,4983247,18,False,695.5274261603375,4232.497890295359,NF,INFP
jchatterleyCNN,5905,23361,12,387,1735,92440,3608,True,492.0833333333333,1946.75,NF,INFJ
MsHodl,2114,17280,8,406,2237,57513,1545,False,264.25,2160.0,NF,ENFP
